title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"Chelsea's Hotel","Darwin Deez","1K4WprGj7fMXknMrquxtEg",0.633,0.523,0,-8.371,1,0.0417,0.497,0.00000224,0.377,0.608,76.037,284992,4
"In the Aeroplane Over the Sea","Neutral Milk Hotel","5rfT032kGmLvbxZzfHlu5D",0.271,0.714,7,-5.124,1,0.0329,0.392,0,0.115,0.239,94.158,202347,3
"Cherry Cola","Sam Entwistle","1CwuiiDY5R43SwfDly6Riw",0.616,0.132,2,-15.551,1,0.0355,0.824,0,0.123,0.274,97.205,161634,4
"Cosmic Freeway","Yeek","0fnmqKRyN4lTswvyOXz0ID",0.449,0.244,5,-12.068,0,0.197,0.593,0.0000608,0.0884,0.262,89.966,362667,4
"Hold In, Hold On","Kid Bloom","0WebpqjAhluHB2WREW9x4R",0.774,0.766,0,-3.829,1,0.0351,0.119,0,0.0993,0.75,124.019,159667,4
"Kleenex","Baby Boys","2udXBcL4hLucxNQh3ZYBQu",0.643,0.54,4,-6.154,1,0.059,0.645,0.258,0.117,0.551,94.011,235025,4
"Tigersharks","Sumbuck","2E1rruhDIZVzOlH4XCSLUk",0.416,0.485,1,-9.214,0,0.0369,0.79,0.000404,0.149,0.247,83.357,257759,4
"Poor Boy","CARR","6Wvi3W1wCzyLzVSD8g7JTQ",0.845,0.436,7,-8.351,1,0.0368,0.348,0.00252,0.336,0.557,118.051,164911,4
"Portland","Bowling Shoes","110NFrhyUhxxRmMCTdzF2R",0.657,0.579,0,-10.351,1,0.284,0.116,0.0000377,0.326,0.731,74.96,152258,4
"Pulaski","Andrew Bird","1tGRfoeKD06YvZr6l3uwEk",0.453,0.717,7,-7.724,1,0.0753,0.174,0.00243,0.12,0.393,111.023,242147,4
"Silly Goose","More Fatter","61O3EtR8IT4tmornSBGZgU",0.819,0.406,3,-5.801,1,0.0735,0.194,0,0.379,0.318,125.947,167216,4
"kissing girls","Grady","5lCtzEEl2FxySHX4zR9yEf",0.415,0.456,0,-7.315,1,0.106,0.934,0,0.49,0.72,181.452,100750,3
"Coffee And Cigarettes","The Night Game","6Dt6bZ7QoJAQWmCpZZ1GTb",0.682,0.523,2,-12.431,1,0.13,0.213,0.0579,0.342,0.5,166.052,325147,4
"Evergreen","August Kamp","4DOmrSKXmDSM3Xk2AOMP2x",0.619,0.385,6,-10.229,1,0.0314,0.767,0.0000188,0.0793,0.308,83.95,185714,4
"No Fire","S. Grant Parker","34LjJHd7uXQkcIxfyIwyRB",0.585,0.342,5,-7.419,1,0.0363,0.977,0.00522,0.282,0.277,127.231,228426,4
"Twin Size Mattress","The Front Bottoms","4AQ4tIKGLXeBQQsybOKTmv",0.318,0.873,4,-5.543,1,0.0881,0.00587,0.00000327,0.104,0.395,145.308,264707,4
"INC.","Dori Valentine","2PhljZgPDX8bpfPHYzlyY2",0.654,0.441,10,-6.673,1,0.0248,0.528,0,0.113,0.383,96.009,226972,4
"Fairy Tale","Homemade Haircuts","50iyPPNlMbGV7YEzPiUCK7",0.669,0.364,8,-10.82,1,0.0405,0.812,0.00108,0.159,0.501,123.983,168823,4
"Clay Pigeons","Michael Cera","0XgRWgcs0Pcr9PSIdFWD4N",0.292,0.241,6,-17.001,1,0.0428,0.97,0.00989,0.105,0.441,172.175,186000,4
"High Tops","Del Water Gap","1TPgw76OuRx2VA390Kjari",0.557,0.458,7,-5.127,1,0.0306,0.0499,0.0000567,0.176,0.262,128.126,238200,4
"Window","Nana Grizol","26qQ9Kn1JKEUWL3edx2pw4",0.54,0.384,4,-9.135,1,0.0352,0.538,0.0000448,0.155,0.664,96.814,227867,4
"Happy Accidents","Saint Motel","6KZ7duCkaniteGwmqz5ors",0.332,0.311,9,-9.568,1,0.0302,0.871,0,0.136,0.442,90.242,183333,4
"Love & War in Your Twenties","Jordy Searcy","4ZRrMMzxprxmGneblonNz7",0.736,0.525,2,-9.694,1,0.0296,0.22,0.00153,0.127,0.529,102.986,250547,4
"Get Yourself to Sleep","Oscar Welsh","74KttZ7bf1dDyrEviDbJCy",0.544,0.487,7,-6.818,0,0.342,0.852,0,0.212,0.46,84.056,182361,4
"You Were","Field Guide","0TsWu7ZYypXsIEIPwl6BOi",0.642,0.57,7,-12.557,1,0.0573,0.322,0.00856,0.0626,0.611,81.997,193747,4
"Slow Dancing","Aly & AJ","0tTEImoPqWvU1SiOduW1iy",0.698,0.457,7,-9.001,1,0.0307,0.581,0.263,0.114,0.308,114,267880,4
"Fall for Her (Nobody Else)","Runner and Bobby","7ygzSVrqKC2vfd3rNzZWEg",0.555,0.821,0,-9.63,1,0.0335,0.107,0.0407,0.0786,0.206,166.066,228434,4
"Smartest Man","Homeschool","3GZ6NF3JANq9rQpSOFoLw2",0.579,0.576,1,-6.938,1,0.0276,0.214,0.0000162,0.109,0.526,76.99,221760,4
"Kiss Goodnight","I DONT KNOW HOW BUT THEY FOUND ME","6bNk8Nakwq8nM6EGUy4nOP",0.491,0.598,7,-6.124,1,0.0353,0.0124,0.00000977,0.284,0.44,177.96,230038,4
